Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,953.0,18.0,53.0,953.0,0.1,15.610999999999986,0.0,0.0,92.78370308876038,,,,,,,,,,,,,,,,,,,,,3.7422424800100247,4.542131501245002,15.443532770567836,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,990.0,19.0,37.0,990.0,0.1,21.205000000000016,0.0,0.0,96.68838620185852,,,,,,,,,,,,,,,,,,,,,7.173348837517301,7.186286448508078,20.981528167819334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1013.0,20.0,23.0,1013.0,0.1,8.506999999999994,0.0,0.0,99.22321772575378,,,,,,,,,,,,,,,,,,,,,2.3023971412097746,2.920153683379415,8.470978351476779,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,43.0,1.0,43.0,1056.0,0.1,19.207000000000026,0.0,0.0,266.5851435661316,,,,,,,,,,,,,,,,,,,,,5.499125023767339,6.1920768738752745,19.008535686815954,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,117.0,2.0,74.0,1130.0,0.1,47.605999999999995,0.0,0.0,274.19883155822754,,,,,,,,,,,,,,,,,,,,,20.720754872705143,15.03659716276276,46.16494787021235,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,149.0,3.0,32.0,1162.0,0.1,13.405999999999993,0.0,0.0,277.5776364803314,,,,,,,,,,,,,,,,,,,,,3.821132016254948,4.415367431069246,13.310331127403522,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,203.0,4.0,54.0,1216.0,0.1,18.308000000000042,0.0,0.0,283.0765812397003,,,,,,,,,,,,,,,,,,,,,4.59954084247134,5.3966909842713955,18.095798295298852,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,244.0,5.0,41.0,1257.0,0.1,22.30600000000002,0.0,0.0,287.1905725002289,,,,,,,,,,,,,,,,,,,,,7.230091428954033,7.4459721997572155,22.05365150076291,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,294.0,6.0,50.0,1307.0,0.1,22.008000000000024,0.0,0.0,292.2631175518036,,,,,,,,,,,,,,,,,,,,,6.726660336525729,6.867649237580031,21.715075418936166,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,319.0,7.0,25.0,1332.0,0.1,10.605999999999995,0.0,0.0,294.9349753856659,,,,,,,,,,,,,,,,,,,,,3.0685974993155174,3.653366121754919,10.550375262667185,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,362.0,8.0,43.0,1375.0,0.1,24.105000000000015,0.0,0.0,299.29561614990234,,,,,,,,,,,,,,,,,,,,,9.135108748411294,7.727632661477096,23.75968593600439,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,386.0,9.0,24.0,1399.0,0.1,8.304999999999994,0.0,0.0,301.8608419895172,,,,,,,,,,,,,,,,,,,,,2.282918578918874,2.7469408436614864,8.26673515768616,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,522.0,10.0,136.0,1535.0,0.1,74.607,0.0,0.0,315.5340449810028,,,,,,,,,,,,,,,,,,,,,28.57975900936552,21.51947435481061,70.86180552396873,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,644.0,11.0,122.0,1657.0,0.1,65.20500000000003,0.0,0.0,327.46083402633667,,,,,,,,,,,,,,,,,,,,,26.651007828377725,17.649735126253614,62.07767030788341,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,702.0,12.0,58.0,1715.0,0.1,36.004999999999995,0.0,0.0,333.37774896621704,,,,,,,,,,,,,,,,,,,,,14.584955933584483,11.16452255189905,35.22949631899377,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,732.0,13.0,30.0,1745.0,0.1,14.606999999999994,0.0,0.0,336.6170320510864,,,,,,,,,,,,,,,,,,,,,4.425950938531006,5.045114014185179,14.50321339542152,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,777.0,14.0,45.0,1790.0,0.1,27.30600000000002,0.0,0.0,341.39162611961365,,,,,,,,,,,,,,,,,,,,,9.367943266732754,9.210056230524556,26.938292199103035,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,816.0,15.0,39.0,1829.0,0.1,24.106000000000016,0.0,0.0,345.44768810272217,,,,,,,,,,,,,,,,,,,,,8.467641541260447,8.250574654717193,23.823384926358635,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
